Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 27
,168,12155.0,Belosa Limited,HE460376,"מספר תאגיד או שותפות בחו""ל",BELOSA - עסקת צד עם פתאל - רגילה,253000021,פנימי,מניות לא סחירות,ישראל,הולנד,לא סחיר,מלונאות ותיירות,לא,2024-07-23,EUR,מומחה בלתי תלוי,אי-תלות,2024-07-23,2025-09-30,88.21,3.8807,100.0,0.34231,4e-06,0.0,
,168,12155.0,Belosa Limited,HE460376,"מספר תאגיד או שותפות בחו""ל",BELOSA - עסקת צד עם פתאל - בכורה,253000022,פנימי,מניות לא סחירות,ישראל,הולנד,לא סחיר,מלונאות ותיירות,לא,2024-07-23,EUR,מומחה בלתי תלוי,אי-תלות,2024-07-23,2025-09-30,88.21,3.8807,1413288.8643,4837.92163,0.057719,0.000172,
,168,12155.0,"אפריקה ישראל תעשיות בע""מ",520026618,ח.פ.,אפריקה תעשיות,IL0008000114,ISIN,מניות לא סחירות,ישראל,ישראל,לא סחיר,מתכת ומוצרי בניה,לא,2002-09-09,ILS,מומחה בלתי תלוי,אי-תלות,2025-06-23,2025-09-30,3778.58,1.0,1e-06,0.0,0.0,0.0,
,168,12155.0,"רם מוגרבי ארדיטי בע""מ",515237899,ח.פ.,עסקת רם-מוגרבי-ארדיטי,253000014,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,בנייה,לא,2022-06-12,ILS,מומחה בלתי תלוי,אי-תלות,2025-05-15,2025-09-30,1146.78,1.0,125620.0,1440.58754,0.017187,5.1e-05,
,168,12155.0,"מימון ישיר נדל""ן ומשכנתאות בע""מ",516100153,ח.פ.,"מימון ישיר נדל""ן ומשכנתאות",2510044,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,אשראי חוץ בנקאי,לא,2023-08-13,ILS,מומחה בלתי תלוי,אי-תלות,2025-08-12,2025-09-30,3671984.61,1.0,133.791045,4912.78658,0.058612,0.000174,
,168,12155.0,"איסכור תעשיות בע""מ",511578411,ח.פ.,איסכור,7001,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,מתכת ומוצרי בניה,לא,2022-09-12,ILS,מומחה בלתי תלוי,אי-תלות,2024-10-09,2025-09-30,102455.36,1.0,1075.31,1101.71273,0.013144,3.9e-05,
,168,12155.0,"וויט סורס בע""מ  (White Source LTD)",514613587,ח.פ.,Mend (White Source) - Preffered B shares,25100257,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2024-08-22,USD,מומחה בלתי תלוי,אי-תלות,2025-09-28,2025-09-30,203.95,3.306,700.5,4.72318,5.6e-05,0.0,
,168,12155.0,UVEYE LTD,541234202,מספר שותפות,UVEYE Preferred D Share-2,25100255,פנימי,מניות לא סחירות,ישראל,"ארה""ב",לא סחיר,השקעות בהיי-טק,לא,2023-01-04,USD,מומחה בלתי תלוי,אי-תלות,2024-10-27,2025-09-30,182687.16,3.306,830.0528,5013.21819,0.059811,0.000178,
,168,12155.0,"ביוויז טכנולוגיות בע""מ",515811289,ח.פ.,BeeWise Technologies,25100244,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2022-05-17,USD,מומחה בלתי תלוי,אי-תלות,2025-01-20,2025-09-30,2696.53,3.306,5673.95,505.81721,0.006034,1.7e-05,
,168,12155.0,"ישראל קנדה מלונאות בע""מ",516018397,ח.פ.,ישראל קנדה מלונאות,253000019,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,מלונאות ותיירות,לא,2022-07-08,ILS,מומחה בלתי תלוי,אי-תלות,2024-07-14,2025-09-30,4438.89,1.0,41361.676,1835.99971,0.021904,6.5e-05,
,168,12155.0,"אונקוהוסט בע""מ",515644631,ח.פ.,OncoHost,25100243,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,מכשור רפואי,לא,2022-05-17,USD,מומחה בלתי תלוי,אי-תלות,2025-07-15,2025-09-30,17459.59,3.306,6320.595,3648.3362,0.043527,0.000129,
,168,12155.0,"סיינריו ישראל בע""מ",515746212,ח.פ.,Cynerio,25100229,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2021-09-14,USD,מומחה בלתי תלוי,אי-תלות,2025-01-23,2025-09-30,121778.62,3.306,756.81,3046.91795,0.036351,0.000108,
,168,12155.0,UVEYE LTD,541234202,מספר שותפות,UVEYE Common,25100225,פנימי,מניות לא סחירות,ישראל,"ארה""ב",לא סחיר,השקעות בהיי-טק,לא,2021-07-16,USD,מומחה בלתי תלוי,אי-תלות,2024-10-27,2025-09-30,58141.19,3.306,830.0528,1595.48411,0.019035,5.6e-05,
,168,12155.0,"וויט סורס בע""מ  (White Source LTD)",514613587,ח.פ.,Mend (White Source) - Ordinary shares,25100223,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2021-06-04,USD,מומחה בלתי תלוי,אי-תלות,2025-09-28,2025-09-30,564.73,3.306,514.7,9.60943,0.000114,0.0,
,168,12155.0,UVEYE LTD,541234202,מספר שותפות,UVEYE  Preferred C shares,25100221,פנימי,מניות לא סחירות,ישראל,"ארה""ב",לא סחיר,השקעות בהיי-טק,לא,2021-05-14,USD,מומחה בלתי תלוי,אי-תלות,2024-10-27,2025-09-30,461025.33,3.306,830.0528,12651.2476,0.150938,0.00045,
,168,12155.0,"וויט סורס בע""מ  (White Source LTD)",514613587,ח.פ.,White Source  - אחזקה ישירה,25100217,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2021-03-26,USD,מומחה בלתי תלוי,אי-תלות,2025-09-28,2025-09-30,3429.39,3.306,848.57,96.20716,0.001147,3e-06,
,168,12155.0,"ישראל קנדה מגדל צומת ערים בע""מ",515775534,ח.פ.,בית ישראל קנדה מניות בכורה,94421,פנימי,מניות בכורה לא סחירות,ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2023-12-14,ILS,מומחה בלתי תלוי,אי-תלות,2024-12-31,2025-09-30,1858481.58,1.0,100.0,1858.48158,0.022172,6.6e-05,
,168,12155.0,"אביב מגורים בשחקים הרצליה בע""מ",516748654,ח.פ.,קריית שחקים הון,9446,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,בנייה,לא,2023-12-21,ILS,מומחה בלתי תלוי,אי-תלות,2025-08-19,2025-09-30,89.91,1.0,387274.985,348.19893,0.004154,1.2e-05,
,168,12155.0,"ישראל קנדה מגדל צומת ערים בע""מ",515775534,ח.פ.,בית ישראל קנדה,9442,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2021-11-01,ILS,מומחה בלתי תלוי,אי-תלות,2024-12-31,2025-09-30,141.0,1.0,3803050.363,5362.30101,0.063975,0.00019,
,168,12155.0,"קבוצת אשטרום בע""מ",510381601,ח.פ.,Tierra Bonita-אשטרום- פנסיה,9891,פנימי,מניות לא סחירות,"חו""ל","ארה""ב",לא סחיר,Independent Power and Renewable Electricity Producers,כן,2025-06-26,USD,מומחה בלתי תלוי,אי-תלות,2025-06-25,2025-09-30,38.96,3.306,1100288.0,1417.22668,0.016908,5e-05,
,168,12155.0,הרוח הנורדית שותפות מוגבלת,540290152,מספר שותפות,פיקאסו שבדיה  - אנלייט,25100156,פנימי,מניות לא סחירות,"חו""ל",שוודיה,לא סחיר,Energy Equipment & Services,לא,2019-12-05,EUR,מומחה בלתי תלוי,אי-תלות,2024-12-31,2025-09-30,190267.63,3.8807,128.8871,951.66573,0.011354,3.3e-05,
,168,12155.0,VIVION INVESTMENTS,25490072LQI0R2J4XC93,LEI,Vivion Investments S.A R.L,25100407,פנימי,מניות לא סחירות,"חו""ל",גרמניה,לא סחיר,Real Estate Management & Development,לא,2025-08-19,EUR,מומחה בלתי תלוי,אי-תלות,2025-08-19,2025-09-30,1394.37,3.8807,124464.8014,6734.95427,0.080352,0.000239,
,168,12155.0,Fugen AG capital,CHE-293.683.048,"מספר תאגיד או שותפות בחו""ל",FuGen AG -עמיתים Preferred A,251003021,פנימי,מניות לא סחירות,"חו""ל",שוודיה,לא סחיר,Energy Equipment & Services,לא,2024-12-04,EUR,מומחה בלתי תלוי,אי-תלות,2025-05-15,2025-09-30,124.33,3.8807,633333.0,3055.89958,0.036459,0.000108,
,168,12155.0,LENDBUZZ INC,475047556,"מספר תאגיד או שותפות בחו""ל",LENDBUZZ אקוויטי,25100184,פנימי,מניות לא סחירות,"חו""ל","ארה""ב",לא סחיר,Financial Services,לא,2020-04-13,USD,מומחה בלתי תלוי,אי-תלות,2025-07-16,2025-09-30,388.66,3.306,19406.36283,249.35428,0.002974,8e-06,
,168,12155.0,Nordic Power1 LP,540300084,מספר שותפות,פיוגן - NORDIC POWER,25100204,פנימי,מניות לא סחירות,"חו""ל",שוודיה,לא סחיר,Energy Equipment & Services,לא,2020-11-26,EUR,מומחה בלתי תלוי,אי-תלות,2024-12-15,2025-09-30,379640.07,3.8807,195.60956,2881.85543,0.034382,0.000102,
,168,12155.0,אנלייט ניהול - ספרד,540286291,מספר שותפות,גקמה ספרד  - אנלייט,25100175,פנימי,מניות לא סחירות,"חו""ל",ספרד,לא סחיר,Energy Equipment & Services,לא,2020-02-12,EUR,מומחה בלתי תלוי,אי-תלות,2025-06-30,2025-09-30,362477.4,3.8807,171.066855,2406.33936,0.028709,8.5e-05,
,168,12155.0,Nordic Power1 LP,540300084,מספר שותפות,NORDIC POWER FUGEN JV,25100300,פנימי,מניות לא סחירות,"חו""ל",שוודיה,לא סחיר,Energy Equipment & Services,לא,2022-06-23,EUR,מומחה בלתי תלוי,אי-תלות,2025-02-23,2025-09-30,2837280.25,3.8807,96.114671,10582.83413,0.12626,0.000376,
,168,12155.0,Brockton Holdings LP,226614609,"מספר תאגיד או שותפות בחו""ל",Brockton באנגליה,25100234,פנימי,מניות לא סחירות,"חו""ל",בריטניה,לא סחיר,Real Estate Management & Development,לא,2022-02-18,GBP,מומחה בלתי תלוי,אי-תלות,2024-12-29,2025-09-30,1827664.0,4.4409,89.5387,7267.38449,0.086704,0.000258,
,168,13303.0,Belosa Limited,HE460376,"מספר תאגיד או שותפות בחו""ל",BELOSA - עסקת צד עם פתאל - רגילה,253000021,פנימי,מניות לא סחירות,ישראל,הולנד,לא סחיר,מלונאות ותיירות,לא,2024-07-23,EUR,מומחה בלתי תלוי,אי-תלות,2024-07-23,2025-09-30,57.22,3.8807,100.0,0.22205,2.2e-05,0.0,
,168,13303.0,"אפריקה ישראל תעשיות בע""מ",520026618,ח.פ.,אפריקה תעשיות,IL0008000114,ISIN,מניות לא סחירות,ישראל,ישראל,לא סחיר,מתכת ומוצרי בניה,לא,2002-09-09,ILS,מומחה בלתי תלוי,אי-תלות,2025-06-23,2025-09-30,1129.84,1.0,1e-06,0.0,0.0,0.0,
,168,13303.0,Belosa Limited,HE460376,"מספר תאגיד או שותפות בחו""ל",BELOSA - עסקת צד עם פתאל - בכורה,253000022,פנימי,מניות לא סחירות,ישראל,הולנד,לא סחיר,מלונאות ותיירות,לא,2024-07-23,EUR,מומחה בלתי תלוי,אי-תלות,2024-07-23,2025-09-30,57.22,3.8807,1413288.8643,3138.25956,0.322541,0.0013,
,168,13303.0,"איסכור תעשיות בע""מ",511578411,ח.פ.,איסכור,7001,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,מתכת ומוצרי בניה,לא,2022-09-12,ILS,מומחה בלתי תלוי,אי-תלות,2024-10-09,2025-09-30,4821.43,1.0,1075.31,51.84531,0.005328,2.1e-05,
,168,13303.0,"רם אדרת הנדסה אזרחית בע""מ",512947185,ח.פ.,רם אדרת הנדסה אזרחית,7000,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2022-05-11,ILS,מומחה בלתי תלוי,אי-תלות,2025-04-30,2025-09-30,146.4,1.0,39690.0,58.10616,0.005971,2.4e-05,
,168,13303.0,"ישראל קנדה מלונאות בע""מ",516018397,ח.פ.,ישראל קנדה מלונאות,253000019,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,מלונאות ותיירות,לא,2022-07-08,ILS,מומחה בלתי תלוי,אי-תלות,2024-07-14,2025-09-30,208.88,1.0,41361.676,86.39999,0.008879,3.5e-05,
,168,13303.0,"אביב מגורים בשחקים הרצליה בע""מ",516748654,ח.פ.,קריית שחקים הון,9446,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,בנייה,לא,2023-12-21,ILS,מומחה בלתי תלוי,אי-תלות,2025-08-19,2025-09-30,14.18,1.0,387274.985,54.91559,0.005644,2.2e-05,
,168,13303.0,"מימון ישיר נדל""ן ומשכנתאות בע""מ",516100153,ח.פ.,"מימון ישיר נדל""ן ומשכנתאות",2510044,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,אשראי חוץ בנקאי,לא,2023-08-13,ILS,מומחה בלתי תלוי,אי-תלות,2025-08-12,2025-09-30,112900.0,1.0,133.791045,151.05008,0.015524,6.2e-05,
,168,13303.0,"רם מוגרבי ארדיטי בע""מ",515237899,ח.פ.,עסקת רם-מוגרבי-ארדיטי,253000014,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,בנייה,לא,2022-06-12,ILS,מומחה בלתי תלוי,אי-תלות,2025-05-15,2025-09-30,53.97,1.0,125620.0,67.79711,0.006968,2.8e-05,
,168,13303.0,"ביוויז טכנולוגיות בע""מ",515811289,ח.פ.,BeeWise Technologies,25100244,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2022-05-17,USD,מומחה בלתי תלוי,אי-תלות,2025-01-20,2025-09-30,126.9,3.306,5673.95,23.804,0.002446,9e-06,
,168,13303.0,Brockton Holdings LP,226614609,"מספר תאגיד או שותפות בחו""ל",Brockton באנגליה,25100234,פנימי,מניות לא סחירות,"חו""ל",בריטניה,לא סחיר,Real Estate Management & Development,לא,2022-02-18,GBP,מומחה בלתי תלוי,אי-תלות,2024-12-29,2025-09-30,86008.22,4.4409,89.5387,341.99657,0.035149,0.000141,
,168,13303.0,"קבוצת אשטרום בע""מ",510381601,ח.פ.,Tierra Bonita-אשטרום- פנסיה,9891,פנימי,מניות לא סחירות,"חו""ל","ארה""ב",לא סחיר,Independent Power and Renewable Electricity Producers,כן,2025-06-26,USD,מומחה בלתי תלוי,אי-תלות,2025-06-25,2025-09-30,13.28,3.306,1100288.0,483.32155,0.049674,0.0002,
,168,13303.0,VIVION INVESTMENTS,25490072LQI0R2J4XC93,LEI,Vivion Investments S.A R.L,25100407,פנימי,מניות לא סחירות,"חו""ל",גרמניה,לא סחיר,Real Estate Management & Development,לא,2025-08-19,EUR,מומחה בלתי תלוי,אי-תלות,2025-08-19,2025-09-30,475.51,3.8807,124464.8014,2296.79246,0.236058,0.000951,
,168,13303.0,Fugen AG capital,CHE-293.683.048,"מספר תאגיד או שותפות בחו""ל",FuGen AG -עמיתים Preferred A,251003021,פנימי,מניות לא סחירות,"חו""ל",שוודיה,לא סחיר,Energy Equipment & Services,לא,2024-12-04,EUR,מומחה בלתי תלוי,אי-תלות,2025-05-15,2025-09-30,121.05,3.8807,633333.0,2975.25997,0.305789,0.001232,
,168,13349.0,"אפריקה ישראל תעשיות בע""מ",520026618,ח.פ.,אפריקה תעשיות,IL0008000114,ISIN,מניות לא סחירות,ישראל,ישראל,לא סחיר,מתכת ומוצרי בניה,לא,2002-09-09,ILS,מומחה בלתי תלוי,אי-תלות,2025-06-23,2025-09-30,38.17,1.0,1e-06,0.0,0.0,0.0,
,168,15342.0,LENDBUZZ INC,475047556,"מספר תאגיד או שותפות בחו""ל",LENDBUZZ אקוויטי,25100184,פנימי,מניות לא סחירות,"חו""ל","ארה""ב",לא סחיר,Financial Services,לא,2020-04-13,USD,מומחה בלתי תלוי,אי-תלות,2025-07-16,2025-09-30,34.2,3.306,19406.36283,21.94184,1.0,2.7e-05,
,168,2009.0,"קיסתרה טכנולוגיות בע""מ",515253086,ח.פ.,Kissterra ordinary Shares,251002271,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,כן,2021-07-27,USD,מומחה בלתי תלוי,אי-תלות,2024-11-28,2025-09-30,21912.92,3.306,782.0,566.51296,0.000708,5e-06,
,168,2009.0,"אייס אוטו דיפו בע""מ",511739294,ח.פ.,אייס דיפו,IL0011075236,ISIN,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעה ואחזקות,לא,2014-03-20,ILS,מומחה בלתי תלוי,אי-תלות,2025-06-30,2025-09-30,237245.0,1.0,1e-06,0.0,0.0,0.0,
,168,2009.0,"קיסתרה טכנולוגיות בע""מ",515253086,ח.פ.,Kissterra Pref A,25100227,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,כן,2021-07-27,USD,מומחה בלתי תלוי,אי-תלות,2024-11-28,2025-09-30,732342.1,3.306,1656.0,40093.79659,0.050144,0.000367,
,168,2009.0,Belosa Limited,HE460376,"מספר תאגיד או שותפות בחו""ל",BELOSA - עסקת צד עם פתאל - רגילה,253000021,פנימי,מניות לא סחירות,ישראל,הולנד,לא סחיר,מלונאות ותיירות,לא,2024-07-23,EUR,מומחה בלתי תלוי,אי-תלות,2024-07-23,2025-09-30,121.81,3.8807,100.0,0.4727,0.0,0.0,
,168,2009.0,"אפריקה ישראל תעשיות בע""מ",520026618,ח.פ.,אפריקה תעשיות,IL0008000114,ISIN,מניות לא סחירות,ישראל,ישראל,לא סחיר,מתכת ומוצרי בניה,לא,2002-09-09,ILS,מומחה בלתי תלוי,אי-תלות,2025-06-23,2025-09-30,46571.08,1.0,1e-06,0.0,0.0,0.0,
,168,2009.0,Belosa Limited,HE460376,"מספר תאגיד או שותפות בחו""ל",BELOSA - עסקת צד עם פתאל - בכורה,253000022,פנימי,מניות לא סחירות,ישראל,הולנד,לא סחיר,מלונאות ותיירות,לא,2024-07-23,EUR,מומחה בלתי תלוי,אי-תלות,2024-07-23,2025-09-30,121.81,3.8807,1413288.8643,6680.73047,0.008355,6.1e-05,
,168,2009.0,"ישראל קנדה מגדל צומת ערים בע""מ",515775534,ח.פ.,בית ישראל קנדה מניות בכורה,94421,פנימי,מניות בכורה לא סחירות,ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2023-12-14,ILS,מומחה בלתי תלוי,אי-תלות,2024-12-31,2025-09-30,3769686.03,1.0,100.0,3769.68603,0.004714,3.4e-05,
,168,2009.0,"קבוצת ניסקו בע""מ",510928237,ח.פ.,"קבוצת ניסקו בע""מ",253000012,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,מסחר,לא,2022-03-04,ILS,מומחה בלתי תלוי,אי-תלות,2025-04-28,2025-09-30,1513602.33,1.0,3344.94727,50629.19981,0.06332,0.000463,
,168,2009.0,"גט פבריק בע""מ",515226579,ח.פ.,GET FABRIC LTD,25100231,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2021-10-27,USD,מומחה בלתי תלוי,אי-תלות,2024-11-24,2025-09-30,377824.18,3.306,562.5065,7026.19409,0.008787,6.4e-05,
,168,2009.0,"פיוצ'ר מיט טכנולוגיות בע""מ",515799641,ח.פ.,Future Meat - Preferred B shares,25100233,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2021-12-28,USD,מומחה בלתי תלוי,אי-תלות,2024-12-29,2025-09-30,81317.76,3.306,6461.769706,17371.59645,0.021726,0.000159,
,168,2009.0,"בוקאווי בע""מ",515711760,ח.פ.,Bookaway C1,253000020,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,מלונאות ותיירות,לא,2024-04-18,USD,מומחה בלתי תלוי,אי-תלות,2025-04-20,2025-09-30,19075.32,3.306,1270.7059,801.34536,0.001002,7e-06,
,168,2009.0,"ביוויז טכנולוגיות בע""מ",515811289,ח.פ.,BeeWise Technologies,25100244,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2022-05-17,USD,מומחה בלתי תלוי,אי-תלות,2025-01-20,2025-09-30,49743.11,3.306,5673.95,9330.85172,0.011669,8.5e-05,
,168,2009.0,"וויט סורס בע""מ  (White Source LTD)",514613587,ח.פ.,Mend (White Source) - Ordinary shares,25100223,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2021-06-04,USD,מומחה בלתי תלוי,אי-תלות,2025-09-28,2025-09-30,17065.93,3.306,514.7,290.39355,0.000363,2e-06,
,168,2009.0,"וויט סורס בע""מ  (White Source LTD)",514613587,ח.פ.,Mend (White Source) - Preffered B shares,25100257,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2024-08-22,USD,מומחה בלתי תלוי,אי-תלות,2025-09-28,2025-09-30,6163.35,3.306,700.5,142.73412,0.000178,1e-06,
,168,2009.0,"טווין פתרונות בע""מ",515218717,ח.פ.,Twine D-2 2021 Track 43,25100401,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2023-03-27,USD,מומחה בלתי תלוי,אי-תלות,2024-10-27,2025-09-30,238187.13,3.306,2.079,16.37101,2e-05,0.0,
,168,2009.0,"טווין פתרונות בע""מ",515218717,ח.פ.,Twine השקעה נוספת,25100403,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2023-03-27,USD,מומחה בלתי תלוי,אי-תלות,2024-10-27,2025-09-30,25386.45,3.306,2.079,1.74485,2e-06,0.0,
,168,2009.0,"רם מוגרבי ארדיטי בע""מ",515237899,ח.פ.,עסקת רם-מוגרבי-ארדיטי,253000014,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,בנייה,לא,2022-06-12,ILS,מומחה בלתי תלוי,אי-תלות,2025-05-15,2025-09-30,21154.68,1.0,125620.0,26574.51655,0.033235,0.000243,
,168,2009.0,"מימון ישיר נדל""ן ומשכנתאות בע""מ",516100153,ח.פ.,"מימון ישיר נדל""ן ומשכנתאות",2510044,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,אשראי חוץ בנקאי,לא,2023-08-13,ILS,מומחה בלתי תלוי,אי-תלות,2025-08-12,2025-09-30,6899857.94,1.0,133.791045,9231.39204,0.011545,8.4e-05,
,168,2009.0,"היי ביז בע""מ",514231075,ח.פ.,הייטקזון היי ביז,253000011,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,מסחר,לא,2022-03-02,ILS,מומחה בלתי תלוי,אי-תלות,2024-01-01,2025-09-30,568.06,1.0,2002588.2722,11375.94299,0.014227,0.000104,
,168,2009.0,"ישראל קנדה מלונאות בע""מ",516018397,ח.פ.,ישראל קנדה מלונאות,253000019,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,מלונאות ותיירות,לא,2022-07-08,ILS,מומחה בלתי תלוי,אי-תלות,2024-07-14,2025-09-30,81884.48,1.0,41361.676,33868.79662,0.042358,0.00031,
,168,2009.0,"ישראל קנדה מגדל צומת ערים בע""מ",515775534,ח.פ.,בית ישראל קנדה,9442,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2021-11-01,ILS,מומחה בלתי תלוי,אי-תלות,2024-12-31,2025-09-30,286.0,1.0,3803050.363,10876.72403,0.013603,9.9e-05,
,168,2009.0,"סילנטיום בע""מ",512491143,ח.פ.,silentium,25100222,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2021-06-02,USD,מומחה בלתי תלוי,אי-תלות,2024-11-27,2025-09-30,16706741.24,3.306,3.44,1899.99753,0.002376,1.7e-05,
,168,2009.0,"נוטרפיק בע""מ",515717890,ח.פ.,NO TRAFFIC,25100218,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2021-04-22,USD,מומחה בלתי תלוי,אי-תלות,2024-11-21,2025-09-30,396098.5,3.306,342.44,4484.25741,0.005608,4.1e-05,
,168,2009.0,"פריקסו בע""מ",513449199,ח.פ.,פריקסו מניות ב,21139,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2006-05-24,USD,מומחה בלתי תלוי,אי-תלות,2025-03-31,2025-09-30,15120.0,3.306,1e-06,0.0,0.0,0.0,
,168,2009.0,ש.ב פורטפוליו תשתיות 1 שותפות מוגבלת,550277925,מספר שותפות,ש.ב פרוטפוליו תשתיות - כבישים,25000344,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,שירותים,לא,2018-06-04,ILS,מומחה בלתי תלוי,אי-תלות,2025-09-09,2025-09-30,63894098.02,1.0,129.601365,82807.62318,0.103564,0.000758,
,168,2009.0,"פליופס בע""מ",515664548,ח.פ.,Pliops Ltd preferred  C shares,9396,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,מוליכים למחצה,לא,2021-02-10,USD,מומחה בלתי תלוי,אי-תלות,2025-05-29,2025-09-30,656464.49,3.306,76.82,1667.20264,0.002085,1.5e-05,
,168,2009.0,"פליופס בע""מ",515664548,ח.פ.,PLIOPS LTD Preferred B shares,9388,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,מוליכים למחצה,לא,2018-12-14,USD,מומחה בלתי תלוי,אי-תלות,2025-05-29,2025-09-30,656341.15,3.306,76.82,1666.8894,0.002084,1.5e-05,
,168,2009.0,"אביב מגורים בשחקים הרצליה בע""מ",516748654,ח.פ.,קריית שחקים הון,9446,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,בנייה,לא,2023-12-21,ILS,מומחה בלתי תלוי,אי-תלות,2025-08-19,2025-09-30,222.82,1.0,387274.985,862.93386,0.001079,7e-06,
,168,2009.0,"איסכור תעשיות בע""מ",511578411,ח.פ.,איסכור,7001,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,מתכת ומוצרי בניה,לא,2022-09-12,ILS,מומחה בלתי תלוי,אי-תלות,2024-10-09,2025-09-30,1890000.0,1.0,1075.31,20323.359,0.025417,0.000186,
,168,2009.0,"רם אדרת הנדסה אזרחית בע""מ",512947185,ח.פ.,רם אדרת הנדסה אזרחית,7000,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2022-05-11,ILS,מומחה בלתי תלוי,אי-תלות,2025-04-30,2025-09-30,60499.8,1.0,39690.0,24012.37062,0.030031,0.000219,
,168,2009.0,"נדב ב. לוגיסטיקה בע""מ",515900991,ח.פ.,"נדב 95006רחוב הזית 104 מושב אמונים, ישראל",95006,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2023-01-26,ILS,מומחה בלתי תלוי,אי-תלות,2024-12-15,2025-09-30,258.08,1.0,13766825.0,35530.5233,0.044436,0.000325,
